Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-04-13,Rent,UPI,Everything wonder whether whose.,441.46,24.61
2024-03-18,Food,Credit Card,Order today control.,129.57,0.0
2024-09-29,Bills,Credit Card,Lead hundred room heavy she.,351.43,0.0
2024-09-02,Entertainment,Debit Card,Affect particularly whatever.,120.1,24.93
2025-01-27,Entertainment,Debit Card,Nor exactly campaign officer.,80.87,0.0
2024-11-24,Transportation,Cash,Medical difficult behind fight.,129.56,0.0
2024-12-30,Rent,Net Banking,Remain story skill growth.,471.6,0.0
2024-06-01,Food,Debit Card,Professional adult.,441.46,0.0
2024-05-07,Entertainment,Credit Card,Time situation girl dog character.,211.65,0.0
2024-09-06,Groceries,Debit Card,Professor into thus realize after.,339.55,24.68
2025-03-08,Groceries,Debit Card,Seek everything.,371.57,0.0
2024-11-11,Rent,Credit Card,Section school feeling.,479.84,0.0
2025-02-15,Groceries,Debit Card,Foreign expert official able such.,253.83,11.54
2024-07-02,Rent,UPI,Goal fear us.,77.59,5.98
2024-11-07,Entertainment,Cash,Rest car over employee.,75.62,1.86
2024-08-15,Entertainment,UPI,Include population well explain.,450.41,20.83
2024-06-28,Food,Net Banking,Increase could.,396.78,0.0
2024-08-17,Food,Debit Card,Raise large race environmental center.,99.89,0.0
2024-06-24,Rent,Net Banking,Nor lawyer each investment.,423.59,0.0
2025-02-21,Rent,Debit Card,Talk near part.,355.25,0.0
2025-03-13,Entertainment,UPI,Others door best sell because.,423.5,44.95
2024-11-21,Food,Credit Card,Different great wind use into.,261.13,46.68
2025-03-07,Rent,UPI,Traditional similar red.,246.92,0.0
2025-02-20,Entertainment,UPI,International individual tree maybe firm.,325.03,0.0
2025-02-15,Rent,Debit Card,Capital might note major.,386.53,22.37
2024-11-19,Transportation,Credit Card,Talk probably.,337.76,0.0
2024-07-02,Rent,Net Banking,House economy never young keep.,321.4,0.0
2024-09-30,Groceries,Debit Card,Party level company yeah including.,150.55,0.0
2024-06-29,Rent,Debit Card,Message minute member.,468.77,0.0
2024-12-07,Rent,Credit Card,Pm should ability.,253.36,9.11
2024-07-15,Rent,Net Banking,Which out our stock.,62.67,44.33
2024-10-31,Entertainment,Net Banking,Certainly run seat she.,262.6,37.11
2024-06-12,Food,Debit Card,Behind thank service against.,415.58,0.0
2024-03-27,Entertainment,Net Banking,Game me.,284.88,0.0
2024-09-17,Rent,UPI,About people.,99.5,0.0
2024-12-20,Bills,Credit Card,Project catch season clear.,174.1,0.0
2024-04-18,Transportation,UPI,Down less mean little to.,271.31,0.0
2024-07-21,Rent,Cash,Much cost resource moment.,364.28,28.86
2025-01-08,Groceries,Net Banking,Walk section strategy return.,176.85,0.0
2024-07-27,Bills,Net Banking,Hard space total customer almost.,85.44,34.27
2024-05-26,Food,Credit Card,Early firm probably church behavior.,241.95,0.0
2024-08-02,Transportation,Cash,Accept good.,420.2,0.0
2024-11-10,Bills,Debit Card,Sometimes prepare well site my.,245.49,0.0
2025-02-25,Transportation,Cash,We style couple member.,393.11,0.0
2024-10-22,Bills,Net Banking,Professional rest sit senior.,445.89,11.06
2024-09-09,Entertainment,Debit Card,Generation per.,166.01,11.94
2024-12-26,Bills,Cash,Past pull area glass.,401.19,0.0
2024-10-28,Transportation,Net Banking,Put model.,205.62,0.0
2024-03-29,Transportation,UPI,Show when deal soon through.,135.77,37.12
2024-06-30,Rent,Cash,Car player memory production land.,301.19,0.0
2024-12-15,Groceries,Net Banking,Others from own.,341.86,0.0
2024-05-22,Transportation,Cash,Within test air street.,306.97,0.0
2024-04-15,Entertainment,Credit Card,Purpose rise anyone.,82.32,0.0
2024-07-21,Groceries,Credit Card,Decide action political week.,94.03,33.81
2024-03-22,Bills,Net Banking,Appear within federal into wife.,177.67,0.0
2024-10-29,Transportation,Credit Card,Kitchen identify notice.,181.85,0.0
2024-05-19,Transportation,Cash,Trial executive oil off better.,56.27,0.0
2024-08-27,Rent,Cash,Language may father need of.,217.36,0.0
2024-11-04,Groceries,Cash,Owner color growth per.,490.92,0.0
2024-05-11,Food,Credit Card,Within save instead maybe they.,472.38,16.66
2024-05-06,Food,Net Banking,Scene level.,315.26,0.0
2024-10-17,Bills,Cash,Health rest.,465.83,0.0
2024-11-21,Bills,UPI,Ask interest.,245.91,0.0
2024-03-29,Transportation,UPI,Thousand kitchen may.,169.39,0.0
2024-12-09,Transportation,UPI,Pick ten series account.,125.22,0.0
2024-10-01,Rent,Net Banking,Fight fact.,442.68,0.0
2025-03-09,Rent,UPI,Human white myself.,462.82,0.0
2024-06-08,Entertainment,Debit Card,If day scene claim.,204.8,0.0
2025-02-06,Rent,Debit Card,Thousand number daughter unit.,361.56,0.0
2025-01-27,Transportation,Debit Card,Shoulder know their.,245.13,0.0
2024-04-10,Rent,UPI,Help goal couple.,323.85,0.0
2024-08-15,Bills,Credit Card,Community those.,405.47,0.0
2024-07-15,Entertainment,Credit Card,Number design listen.,340.48,0.0
2024-06-26,Transportation,Net Banking,Develop according.,123.12,20.86
2024-05-05,Food,UPI,Recognize decade analysis material leg.,204.62,44.11
2025-01-17,Food,Cash,Maintain subject quality.,320.74,0.0
2024-05-03,Transportation,UPI,Responsibility kind wonder under.,245.65,37.92
2024-11-04,Bills,Cash,Ahead fill factor election.,428.2,42.34
2024-06-09,Bills,Debit Card,Off part wind drug.,299.31,0.0
2024-06-29,Food,Credit Card,Present deep live memory brother.,165.56,36.77
2024-04-15,Rent,UPI,Science voice.,120.59,0.0
2024-09-28,Groceries,UPI,Country catch garden meeting.,66.59,0.0
2024-04-21,Groceries,UPI,Marriage room.,237.7,0.0
2024-10-17,Transportation,Cash,Religious government grow.,238.46,0.0
2024-07-05,Entertainment,Net Banking,None close wish task young.,310.08,0.0
2024-08-27,Bills,Cash,Wife draw ten stay.,367.46,0.0
